Timestamp,Track,Artist,Album Cover
00:53:43,Somewhere,carlo iacobelli,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/8e/aa/d6/8eaad638-3778-f03e-8884-5d36929419fd/752470920387_cover.jpg/1400x1400cc.png
00:53:54,Burnin' / Too Long (Live),Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Music6/v4/3a/2d/96/3a2d96cf-d4e9-220b-a428-5f4acad0f303/5099951425951_1500x1500_300dpi.jpg/1400x1400cc.png
00:54:05,Burnin' / Too Long (Live),Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Music6/v4/3a/2d/96/3a2d96cf-d4e9-220b-a428-5f4acad0f303/5099951425951_1500x1500_300dpi.jpg/1400x1400cc.png
00:54:16,Burnin' / Too Long (Live),Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Music6/v4/3a/2d/96/3a2d96cf-d4e9-220b-a428-5f4acad0f303/5099951425951_1500x1500_300dpi.jpg/1400x1400cc.png
00:54:27,Somewhere,carlo iacobelli,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/8e/aa/d6/8eaad638-3778-f03e-8884-5d36929419fd/752470920387_cover.jpg/1400x1400cc.png
00:54:38,Burnin' / Too Long (Live),Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/b7/15/5f/b7155f62-f93a-2fe7-d98d-cc19240b4bd0/5099951165857_1500x1500_300dpi.jpg/1400x1400cc.png
00:54:49,Somewhere,carlo iacobelli,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/8e/aa/d6/8eaad638-3778-f03e-8884-5d36929419fd/752470920387_cover.jpg/1400x1400cc.png
00:55:00,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:55:11,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:55:22,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:55:33,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:55:44,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:55:55,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:56:06,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:56:17,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:56:28,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:56:39,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:56:50,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:57:01,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:57:12,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:57:23,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:57:34,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:57:45,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:57:56,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:58:07,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:58:18,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:58:29,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:58:40,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:58:51,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:59:02,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:59:13,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:59:24,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:59:35,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:59:46,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
00:59:57,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
01:00:08,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
01:00:19,What I Mean (The Crayon Remix Edit),Modjo,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/d3/a4/60d3a472-aa8c-ad26-7c5a-8d0dc1547b0d/cover.jpg/1400x1400cc.png
